Protein	Neighborhood
A1BG	Cytosol
A2M	Unclassified
A2ML1	Secretory
A4GALT	Secretory
AAAS	Secretory
AACS	Cytosol
AADAT	Mitochondria
AAED1	Secretory
AAGAB	Cytosol
AAK1	Cytosol
AAMDC	Cytosol
AAMP	Cytosol
AAR2	Cytosol
AARS	Cytosol
AARS2	Mitochondria
AARSD1	Cytosol
AASDHPPT	Cytosol
AASS	Mitochondria
AATF	Nuclear
ABAT	Mitochondria
ABCA1	Secretory
ABCA12	Secretory
ABCA2	Secretory
ABCA3	Secretory
ABCA5	Secretory
ABCA7	Cytosol
ABCB10	Mitochondria
ABCB4	Cytosol
ABCB6	Secretory
ABCB7	Mitochondria
ABCB8	Mitochondria
ABCB9	Secretory
ABCC1	Secretory
ABCC10	Secretory
ABCC3	Secretory
ABCC4	Secretory
ABCC5	Secretory
ABCD1	Secretory
ABCD3	Secretory
ABCD4	Secretory
ABCE1	Cytosol
ABCF1	Cytosol
ABCF2	Cytosol
ABCF3	Cytosol
ABCG1	Secretory
ABCG2	Secretory
ABHD10	Mitochondria
ABHD11	Mitochondria
ABHD12	Secretory
ABHD13	Secretory
ABHD14B	Cytosol
ABHD15	Secretory
ABHD16A	Secretory
ABHD17A	Secretory
ABHD17B	Secretory
ABHD17C	Secretory
ABHD2	Secretory
ABHD3	Mitochondria
ABHD4	Cytosol
ABHD5	Secretory
ABHD6	Secretory
ABI1	Cytosol
ABI2	Cytosol
ABL1	Cytosol
ABL2	Cytosol
ABLIM1	Unclassified
ABLIM2	Cytosol
ABLIM3	Unclassified
ABR	Cytosol
ABRACL	Cytosol
ABT1	Nuclear
ABTB1	Cytosol
ABTB2	Cytosol
ACAA1	Secretory
ACAA2	Mitochondria
ACACA	Cytosol
ACACB	Nuclear
ACAD10	Mitochondria
ACAD11	Unclassified
ACAD8	Mitochondria
ACAD9	Mitochondria
ACADL	Mitochondria
ACADM	Mitochondria
ACADS	Mitochondria
ACADSB	Mitochondria
ACADVL	Mitochondria
ACAP2	Cytosol
ACAP3	Cytosol
ACAT1	Mitochondria
ACAT2	Cytosol
ACBD3	Cytosol
ACBD4	Secretory
ACBD5	Secretory
ACBD6	Cytosol
ACBD7	Cytosol
ACCS	Cytosol
ACD	Cytosol
ACE	Unclassified
ACE2	Secretory
ACIN1	Nuclear
ACKR3	Secretory
ACLY	Cytosol
ACO1	Cytosol
ACO2	Mitochondria
ACOT1	Nuclear
ACOT11	Cytosol
ACOT13	Unclassified
ACOT2	Unclassified
ACOT4	Cytosol
ACOT7	Cytosol
ACOT8	Secretory
ACOT9	Mitochondria
ACOX1	Secretory
ACOX3	Secretory
ACP1	Cytosol
ACP2	Secretory
ACPL2	Secretory
ACPP	Secretory
ACSF2	Mitochondria
ACSF3	Mitochondria
ACSL1	Secretory
ACSL3	Secretory
ACSL4	Secretory
ACSM3	Unclassified
ACSS1	Mitochondria
ACSS2	Cytosol
ACSS3	Mitochondria
ACTA1	Cytosol
ACTB	Cytosol
ACTBL2	Cytosol
ACTG1	Cytosol
ACTL6A	Cytosol
ACTL8	Nuclear
ACTN1	Unclassified
ACTN2	Cytosol
ACTN3	Cytosol
ACTN4	Nuclear
ACTR10	Cytosol
ACTR1A	Cytosol
ACTR1B	Cytosol
ACTR2	Cytosol
ACTR3	Cytosol
ACTR3B	Cytosol
ACTR5	Nuclear
ACTR6	Nuclear
ACTR8	Nuclear
ACVR1	Secretory
ACVR1B	Secretory
ACVR2A	Secretory
ACVR2B	Secretory
ACY1	Cytosol
ACYP1	Cytosol
ACYP2	Cytosol
ADA	Cytosol
ADAL	Cytosol
ADAM10	Secretory
ADAM11	Unclassified
ADAM15	Secretory
ADAM17	Secretory
ADAM22	Secretory
ADAM23	Secretory
ADAM9	Secretory
ADAMTS19	Secretory
ADAMTSL3	Unclassified
ADAP1	Cytosol
ADAR	Nuclear
ADARB1	Nuclear
ADAT1	Nuclear
ADAT2	Unclassified
ADAT3	Cytosol
ADCK1	Mitochondria
ADCK2	Unclassified
ADCK3	Mitochondria
ADCK4	Mitochondria
ADCK5	Mitochondria
ADCY1	Secretory
ADCY10	Cytosol
ADCY3	Secretory
ADCY5	Secretory
ADCY6	Secretory
ADCY9	Secretory
ADD1	Cytosol
ADD3	Cytosol
ADH5	Cytosol
ADI1	Cytosol
ADIPOR1	Secretory
ADIPOR2	Secretory
ADIRF	Cytosol
ADK	Cytosol
ADNP	Nuclear
ADNP2	Nuclear
ADO	Cytosol
ADPGK	Secretory
ADPRHL2	Cytosol
ADRBK1	Cytosol
ADRM1	Cytosol
ADSL	Cytosol
ADSS	Cytosol
ADSSL1	Cytosol
AEBP2	Nuclear
AEN	Nuclear
AES	Unclassified
AFAP1	Nuclear
AFAP1L2	Cytosol
AFF1	Nuclear
AFF3	Cytosol
AFF4	Nuclear
AFG3L2	Mitochondria
AFM	Cytosol
AFP	Cytosol
AFTPH	Cytosol
AGA	Secretory
AGAP1	Cytosol
AGAP2	Cytosol
AGAP3	Cytosol
AGFG1	Cytosol
AGFG2	Cytosol
AGGF1	Nuclear
AGK	Mitochondria
AGL	Cytosol
AGMAT	Mitochondria
AGO1	Nuclear
AGO2	Nuclear
AGO3	Nuclear
AGO4	Nuclear
AGPAT1	Secretory
AGPAT2	Secretory
AGPAT3	Secretory
AGPAT5	Mitochondria
AGPAT6	Secretory
AGPAT9	Secretory
AGR2	Secretory
AGR3	Secretory
AGRN	Secretory
AGT	Cytosol
AGTPBP1	Cytosol
AGTRAP	Secretory
AHCTF1	Nuclear
AHCY	Cytosol
AHCYL1	Cytosol
AHCYL2	Cytosol
AHDC1	Nuclear
AHI1	Cytosol
AHNAK	Nuclear
AHNAK2	Nuclear
AHR	Cytosol
AHSA1	Cytosol
AHSG	Cytosol
AIDA	Cytosol
AIF1L	Cytosol
AIFM1	Mitochondria
AIFM2	Secretory
AIG1	Secretory
AIM1	Unclassified
AIMP1	Cytosol
AIMP2	Cytosol
AIP	Cytosol
AJUBA	Cytosol
AK1	Cytosol
AK2	Nuclear
AK3	Mitochondria
AK4	Mitochondria
AKAP1	Mitochondria
AKAP10	Cytosol
AKAP11	Secretory
AKAP12	Cytosol
AKAP13	Cytosol
AKAP17A	Nuclear
AKAP5	Secretory
AKAP7	Nuclear
AKAP8	Nuclear
AKAP8L	Nuclear
AKAP9	Cytosol
AKIP1	Unclassified
AKIRIN1	Nuclear
AKIRIN2	Nuclear
AKNA	Secretory
AKR1A1	Cytosol
AKR1B10	Cytosol
AKR1C2	Cytosol
AKR1C3	Cytosol
AKR7A2	Cytosol
AKT1	Cytosol
AKT1S1	Cytosol
AKT2	Cytosol
AKTIP	Cytosol
ALAD	Cytosol
ALAS1	Mitochondria
ALB	Cytosol
ALCAM	Secretory
ALDH16A1	Cytosol
ALDH18A1	Mitochondria
ALDH1A3	Cytosol
ALDH1B1	Mitochondria
ALDH3A1	Cytosol
ALDH3A2	Secretory
ALDH3B1	Secretory
ALDH4A1	Mitochondria
ALDH5A1	Mitochondria
ALDH6A1	Mitochondria
ALDH7A1	Cytosol
ALDH9A1	Cytosol
ALDOA	Cytosol
ALDOC	Cytosol
ALG1	Secretory
ALG11	Secretory
ALG12	Secretory
ALG13	Cytosol
ALG14	Secretory
ALG2	Secretory
ALG3	Secretory
ALG5	Secretory
ALG6	Secretory
ALG8	Unclassified
ALKBH1	Mitochondria
ALKBH2	Nuclear
ALKBH3	Cytosol
ALKBH4	Cytosol
ALKBH5	Nuclear
ALKBH6	Cytosol
ALKBH7	Mitochondria
ALKBH8	Cytosol
ALMS1	Cytosol
ALOX15	Cytosol
ALOXE3	Cytosol
ALS2	Cytosol
ALS2CL	Cytosol
ALYREF	Nuclear
AMACR	Unclassified
AMBP	Unclassified
AMBRA1	Nuclear
AMD1	Cytosol
AMDHD2	Cytosol
AMER1	Secretory
AMFR	Secretory
AMIGO1	Secretory
AMIGO2	Secretory
AMIGO3	Secretory
AMMECR1	Cytosol
AMMECR1L	Nuclear
AMN1	Cytosol
AMOT	Nuclear
AMOTL1	Secretory
AMOTL2	Cytosol
AMPD2	Cytosol
AMPD3	Cytosol
AMZ1	Cytosol
AMZ2	Cytosol
ANAPC1	Cytosol
ANAPC10	Nuclear
ANAPC11	Cytosol
ANAPC13	Cytosol
ANAPC15	Cytosol
ANAPC16	Cytosol
ANAPC2	Cytosol
ANAPC4	Cytosol
ANAPC5	Cytosol
ANAPC7	Unclassified
ANGEL1	Secretory
ANGEL2	Nuclear
ANGPTL4	Secretory
ANK1	Cytosol
ANK2	Cytosol
ANK3	Cytosol
ANKEF1	Secretory
ANKFY1	Cytosol
ANKH	Unclassified
ANKHD1	Cytosol
ANKIB1	Secretory
ANKLE2	Secretory
ANKMY2	Cytosol
ANKRA2	Cytosol
ANKRD10	Nuclear
ANKRD11	Nuclear
ANKRD12	Nuclear
ANKRD13A	Cytosol
ANKRD13B	Cytosol
ANKRD13C	Secretory
ANKRD13D	Cytosol
ANKRD16	Cytosol
ANKRD17	Cytosol
ANKRD22	Secretory
ANKRD24	Unclassified
ANKRD26	Cytosol
ANKRD27	Secretory
ANKRD28	Cytosol
ANKRD32	Nuclear
ANKRD35	Unclassified
ANKRD36C	Cytosol
ANKRD39	Cytosol
ANKRD40	Cytosol
ANKRD42	Unclassified
ANKRD44	Cytosol
ANKRD46	Secretory
ANKRD49	Cytosol
ANKRD50	Cytosol
ANKRD52	Cytosol
ANKRD54	Cytosol
ANKRD9	Cytosol
ANKS1A	Cytosol
ANKS6	Cytosol
ANKZF1	Cytosol
ANLN	Nuclear
ANO10	Secretory
ANO6	Secretory
ANO8	Secretory
ANO9	Secretory
ANP32A	Nuclear
ANP32B	Nuclear
ANTXR1	Secretory
ANXA1	Cytosol
ANXA11	Cytosol
ANXA2	Cytosol
ANXA3	Cytosol
ANXA4	Cytosol
ANXA5	Cytosol
ANXA6	Cytosol
ANXA7	Cytosol
ANXA9	Unclassified
AP1AR	Secretory
AP1B1	Cytosol
AP1G1	Cytosol
AP1G2	Cytosol
AP1M1	Cytosol
AP1M2	Cytosol
AP1S1	Cytosol
AP1S2	Cytosol
AP1S3	Cytosol
AP2A1	Secretory
AP2A2	Secretory
AP2B1	Secretory
AP2M1	Secretory
AP2S1	Secretory
